,waterTemperature,waveDirection,waveHeight,wavePeriod,timestamp,temperature_2m,wind_speed_10m,wind_direction_10m,uv_index,is_day
0,47.444,159.13,0.78,7.57,2024-04-15 14:00:00+00:00,75.4349,7.8294992,216.86998,6.7,1.0
1,47.84,158.16,0.76,7.62,2024-04-15 15:00:00+00:00,77.6849,11.124436,254.84587,6.05,1.0
2,48.29,157.47,0.74,7.63,2024-04-15 16:00:00+00:00,69.4949,2.8472362,224.9999,4.9,1.0
3,48.812,156.78,0.71,7.64,2024-04-15 17:00:00+00:00,59.324898,10.997762,184.66678,3.4,1.0
4,49.28,156.09,0.69,7.65,2024-04-15 18:00:00+00:00,60.854897,13.423863,179.04518,1.9,1.0
5,49.424,157.73,0.69,7.45,2024-04-15 19:00:00+00:00,61.574898,5.5022926,206.56499,0.7,1.0
6,49.19,159.36,0.68,7.25,2024-04-15 20:00:00+00:00,60.9449,0.63271916,135.0001,0.05,0.0
7,48.848,161.0,0.68,7.05,2024-04-15 21:00:00+00:00,58.1549,7.063396,100.95402,0.0,0.0
8,48.721999999999994,160.76,0.67,7.03,2024-04-15 22:00:00+00:00,55.5449,4.6116934,67.16631,0.0,0.0
9,48.686,160.51,0.65,7.02,2024-04-15 23:00:00+00:00,58.2449,1.8981575,44.999897,0.0,0.0
10,48.668,160.27,0.64,7.0,2024-04-16 00:00:00+00:00,56.3549,2.6937048,4.763556,0.0,0.0
11,48.65,158.49,0.63,7.02,2024-04-16 01:00:00+00:00,53.9249,10.187565,8.841739,0.0,0.0
12,48.668,156.71,0.61,7.03,2024-04-16 02:00:00+00:00,51.8549,4.4963145,354.2895,0.0,0.0
13,48.721999999999994,154.93,0.6,7.05,2024-04-16 03:00:00+00:00,50.0549,2.6183414,340.0168,0.0,0.0
14,48.686,153.46,0.59,7.02,2024-04-16 04:00:00+00:00,48.5249,5.3172884,337.75092,0.0,0.0
15,48.56,151.98,0.58,6.98,2024-04-16 05:00:00+00:00,47.1749,6.085298,323.97253,0.0,0.0
16,48.524,150.51,0.57,6.95,2024-04-16 06:00:00+00:00,46.094902,4.9264817,272.6025,0.0,0.0
17,48.488,150.07,0.56,7.06,2024-04-16 07:00:00+00:00,46.8149,5.1645155,287.6502,0.1,1.0
18,48.434,149.62,0.54,7.17,2024-04-16 08:00:00+00:00,51.0449,5.9058495,307.30402,0.85,1.0
19,48.344,149.18,0.53,7.28,2024-04-16 09:00:00+00:00,53.0249,7.618947,310.2363,2.1,1.0
20,48.236,148.71,0.52,7.33,2024-04-16 10:00:00+00:00,54.9149,8.456333,307.47626,3.6,1.0
21,48.164,148.24,0.5,7.39,2024-04-16 11:00:00+00:00,57.614902,9.398062,308.23386,5.05,1.0
22,48.164,147.77,0.49,7.44,2024-04-16 12:00:00+00:00,60.9449,7.9089894,298.7397,6.15,1.0
23,48.254,147.43,0.48,7.47,2024-04-16 13:00:00+00:00,63.914898,7.024322,279.16226,6.7,1.0
24,48.524,147.1,0.47,7.5,2024-04-16 14:00:00+00:00,65.98489,7.395645,273.46817,6.65,1.0
25,48.956,146.76,0.46,7.53,2024-04-16 15:00:00+00:00,67.064896,8.701326,287.96924,6.05,1.0
26,49.46,146.8,0.46,7.49,2024-04-16 16:00:00+00:00,67.1549,9.753423,306.60718,4.9,1.0
27,49.964,146.85,0.45,7.45,2024-04-16 17:00:00+00:00,66.704895,9.223387,309.09384,3.4,1.0
28,50.45,146.89,0.45,7.41,2024-04-16 18:00:00+00:00,65.6249,5.3874097,274.76355,1.9,1.0
29,50.846000000000004,147.89,0.45,7.31,2024-04-16 19:00:00+00:00,61.214897,6.7444715,185.7105,0.7,1.0
30,50.18,148.89,0.45,7.2,2024-04-16 20:00:00+00:00,51.4049,7.436133,136.2188,0.05,0.0
31,48.218,149.89,0.45,7.1,2024-04-16 21:00:00+00:00,50.5049,6.4524946,146.3099,0.0,0.0
32,48.146,150.94,0.45,6.93,2024-04-16 22:00:00+00:00,49.6049,6.5027094,183.94511,0.0,0.0
33,48.11,151.98,0.46,6.75,2024-04-16 23:00:00+00:00,48.8849,4.7189565,211.42952,0.0,0.0
